Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy (kcal);Protein (g);Carbohydrate (g);"Sugars, total (g)";Fiber, total dietary (g);Total Fat (g);Fatty acids, total saturated (g);Fatty acids, total monounsaturated (g);Fatty acids, total polyunsaturated (g);Cholesterol (mg);Retinol (mcg);Vitamin A, RAE (mcg_RAE);Carotene, alpha (mcg);Carotene, beta (mcg);Cryptoxanthin, beta (mcg);Lycopene (mcg);Lutein + zeaxanthin (mcg);Thiamin (mg);Riboflavin (mg);Niacin (mg);Vitamin B-6 (mg);Folic acid (mcg);Folate, food (mcg);Folate, DFE (mcg_DFE);Folate, total (mcg);Choline, total (mg);Vitamin B-12 (mcg);"Vitamin B-12, added (mcg)";Vitamin C (mg);Vitamin D (D2 + D3) (mcg);Vitamin E (alpha-tocopherol) (mg);"Vitamin E, added (mg)";Vitamin K (phylloquinone) (mcg);Calcium (mg);Phosphorus (mg);Magnesium (mg);"Iron (mg)";"Zinc (mg)";Copper (mg);Selenium (mcg);Potassium (mg);Sodium (mg);Caffeine (mg);Theobromine (mg);Alcohol (g);"4:0 (g)";"6:0(g)";"8:0(g)";"10:0(g)";"12:0(g)";"14:0(g)";"16:0(g)";"18:0(g)";"16:1(g)";"18:1(g)";"20:1(g)";"22:1(g)";"18:2(g)";"18:3(g)";"18:4(g)";"20:4(g)";"20:5 n-3(g)";"22:5 n-3(g)";"22:6 n-3(g)";"Water(g)"
26127130;Perch, coated, baked or broiled, made with oil;2402;Fish;203;20.38;12.51;1.1;0.6;7.34;1.209;2.69;2.911;85;15;15;0;1;0;0;2;0.175;0.171;2.258;0.118;13;7;30;21;64.2;1.66;0;1.3;2.9;0.88;0;7.5;106;221;35;1.61;1.26;0.172;16.8;295;356;0;0;0;0.005;0.004;0.003;0.007;0.008;0.036;0.822;0.278;0.078;2.569;0.046;0;2.271;0.32;0.007;0.049;0.074;0.026;0.162;58.28
26127131;Perch, coated, baked or broiled, made with butter;2402;Fish;193;20.43;12.51;1.1;0.6;6.26;3.379;1.489;0.715;97;54;54;0;10;0;0;2;0.176;0.173;2.261;0.118;13;8;30;21;65.3;1.67;0;1.3;2.9;0.34;0;1.1;107;222;35;1.6;1.26;0.172;16.8;296;393;0;0;0;0.191;0.12;0.071;0.152;0.157;0.464;1.51;0.669;0.112;1.352;0.028;0;0.349;0.046;0.007;0.049;0.074;0.026;0.162;59.21
26127132;Perch, coated, baked or broiled, made with margarine;2402;Fish;185;20.39;12.56;1.1;0.6;5.33;1.162;1.674;2.033;85;59;62;0;36;0;0;2;0.176;0.172;2.259;0.28;13;7;30;21;64.8;1.66;0;1.3;3.2;1.24;0;6.4;107;222;35;1.6;1.26;0.172;16.8;297;396;0;0;0;0.006;0.004;0.003;0.01;0.016;0.044;0.657;0.387;0.06;1.583;0.033;0;1.537;0.174;0.007;0.049;0.074;0.027;0.162;60.14
26127133;Perch, coated, baked or broiled, no added fat;2402;Fish;159;21.34;13.1;1.15;0.6;1.66;0.441;0.292;0.565;89;16;16;0;1;0;0;2;0.183;0.179;2.364;0.124;14;8;32;22;67.2;1.74;0;1.3;3.1;0.21;0;0.8;111;231;36;1.68;1.32;0.18;17.6;309;373;0;0;0;0.006;0.004;0.003;0.007;0.008;0.038;0.273;0.098;0.06;0.213;0.024;0;0.2;0.029;0.008;0.051;0.077;0.027;0.17;62.34
26127134;Perch, coated, baked or broiled, made with cooking spray;2402;Fish;161;21.28;13.14;1.14;0.6;1.96;0.46;0.483;0.649;89;16;16;0;1;0;0;2;0.183;0.178;2.357;0.123;14;8;32;22;67;1.73;0;1.3;3.1;0.21;0;0.8;110;231;36;1.67;1.31;0.18;17.5;308;372;0;0;0;0.006;0.004;0.003;0.007;0.008;0.038;0.285;0.104;0.06;0.4;0.028;0;0.258;0.057;0.008;0.051;0.077;0.027;0.169;62.07
26127140;Perch, coated, fried, made with oil;2402;Fish;222;19.55;9.85;0.88;0.6;11.11;1.807;4.262;4.362;112;22;22;0;0;1;0;48;0.152;0.171;2.114;0.122;7;9;22;17;80.9;1.58;0;1.2;2.7;1.3;0;11.4;99;212;33;1.61;1.27;0.17;17.1;270;384;0;0;0;0;0;0;0.001;0;0.014;1.271;0.454;0.099;4.1;0.058;0;3.557;0.482;0.007;0.062;0.067;0.025;0.154;57.95
26127141;Perch, coated, fried, made with butter;2402;Fish;207;19.62;9.86;0.88;0.6;9.47;5.091;2.444;1.039;131;80;81;0;14;1;0;48;0.153;0.174;2.117;0.123;7;10;22;17;82.5;1.59;0;1.2;2.7;0.48;0;1.7;101;214;33;1.59;1.27;0.17;17.1;272;440;0;0;0;0.281;0.175;0.104;0.221;0.225;0.662;2.311;1.046;0.151;2.259;0.032;0;0.648;0.067;0.007;0.062;0.067;0.025;0.154;59.36
26127142;Perch, coated, fried, made with margarine;2402;Fish;195;19.56;9.93;0.88;0.6;8.07;1.736;2.724;3.033;112;88;93;0;53;1;0;48;0.153;0.174;2.115;0.368;7;9;22;17;81.8;1.58;0;1.2;3.1;1.86;0;9.7;100;213;33;1.59;1.27;0.17;17.1;272;444;0;0;0;0.001;0;0.001;0.005;0.013;0.026;1.02;0.62;0.072;2.608;0.039;0;2.446;0.262;0.007;0.062;0.067;0.025;0.154;60.77
26127143;Perch, coated, fried, no added fat;2402;Fish;170;23;11.6;1.03;0.7;2.82;0.725;0.721;0.91;132;25;25;0;0;1;0;56;0.179;0.201;2.488;0.144;8;11;25;20;95.2;1.86;0;1.4;3.2;0.33;0;1.3;116;249;38;1.87;1.49;0.2;20.1;318;452;0;0;0;0;0;0.001;0.001;0;0.017;0.495;0.206;0.08;0.612;0.027;0;0.483;0.047;0.008;0.073;0.079;0.029;0.181;60.77
26127144;Perch, coated, fried, made with cooking spray;2402;Fish;173;22.94;11.64;1.03;0.7;3.13;0.742;0.917;0.996;131;25;25;0;0;1;0;56;0.179;0.201;2.48;0.143;8;11;25;19;94.9;1.85;0;1.4;3.2;0.33;0;1.3;116;248;38;1.87;1.48;0.199;20;317;451;0;0;0;0;0;0.001;0.001;0;0.017;0.507;0.211;0.08;0.803;0.031;0;0.54;0.076;0.008;0.073;0.079;0.029;0.181;60.5
26127160;Perch, steamed or poached;2402;Fish;114;24.38;0;0;0;1.16;0.233;0.191;0.463;113;9;9;0;0;0;0;0;0.07;0.113;1.625;0.121;0;5;5;5;81.7;2.03;0;1.6;3.8;0.25;0;0.1;101;226;34;1.13;1.4;0.189;15.8;288;392;0;0;0;0;0;0;0;0;0.016;0.176;0.039;0.072;0.088;0.03;0;0.014;0.015;0.01;0.065;0.099;0.035;0.219;72.93
26129110;Pike, cooked, NS as to cooking method;2402;Fish;236;19.15;13.87;1.22;0.9;11.13;1.795;4.297;4.316;64;29;29;0;0;1;0;45;0.181;0.156;2.998;0.12;10;17;34;27;77;1.58;0;2.4;2.2;1.29;0;11.7;86;226;34;1.54;0.93;0.097;17.7;259;390;0;0;0;0;0;0;0.001;0.001;0.018;1.24;0.467;0.094;4.143;0.048;0.004;3.671;0.499;0;0.039;0.027;0.012;0.065;53.77
26129120;Pike, baked or broiled, fat added;2402;Fish;141;23.55;0.1;0.04;0;4.62;0.661;1.772;1.801;48;23;23;0;0;0;0;0;0.064;0.073;2.672;0.129;0;17;17;17;79.5;2.2;0;4.2;3.1;0.69;0;4.6;70;269;38;0.68;0.82;0.063;15.4;318;361;0;0;0;0;0;0;0;0.001;0.022;0.463;0.143;0.082;1.647;0.031;0.006;1.402;0.217;0;0.034;0.04;0.017;0.09;69.55
26129121;Pike, baked or broiled, no added fat;2402;Fish;111;24.26;0.1;0.04;0;0.87;0.149;0.198;0.255;49;24;24;0;0;0;0;0;0.066;0.076;2.753;0.133;0;17;17;17;81.9;2.27;0;4.4;3.1;0.25;0;0.1;72;277;39;0.69;0.84;0.064;15.9;328;371;0;0;0;0;0;0;0;0.001;0.023;0.098;0.023;0.071;0.1;0.016;0.006;0.04;0.027;0;0.035;0.042;0.018;0.093;72.51
26129130;Pike, coated, baked or broiled, fat added;2402;Fish;200;20.26;12.51;1.1;0.6;7.13;1.147;2.695;2.756;37;25;25;0;1;0;0;2;0.165;0.138;2.949;0.115;13;16;39;29;64.2;1.74;0;2.8;2.5;0.88;0;7.5;84;240;36;1.28;0.85;0.08;16.8;286;334;0;0;0;0.005;0.004;0.003;0.007;0.009;0.041;0.764;0.266;0.077;2.577;0.036;0.005;2.291;0.328;0;0.026;0.031;0.013;0.069;58.08
26129131;Pike, coated, baked or broiled, no added fat;2402;Fish;156;21.21;13.1;1.15;0.6;1.44;0.376;0.297;0.403;39;26;26;0;1;0;0;2;0.173;0.145;3.088;0.121;14;17;40;31;67.2;1.82;0;3;2.6;0.21;0;0.8;88;251;37;1.33;0.89;0.083;17.6;299;350;0;0;0;0.006;0.004;0.003;0.007;0.009;0.043;0.212;0.085;0.059;0.221;0.013;0.005;0.221;0.038;0;0.028;0.032;0.014;0.072;62.14
26129140;Pike, coated, fried;2402;Fish;219;19.44;9.85;0.88;0.6;10.92;1.75;4.266;4.221;68;30;30;0;0;1;0;48;0.144;0.141;2.78;0.12;7;17;29;24;80.9;1.66;0;2.6;2.3;1.3;0;11.4;79;229;34;1.31;0.89;0.086;17.1;261;364;0;0;0;0;0;0;0.001;0.001;0.019;1.218;0.443;0.098;4.107;0.049;0.004;3.575;0.49;0;0.042;0.028;0.013;0.069;57.78
26129160;Pike, steamed or poached;2402;Fish;111;24.22;0;0;0;0.87;0.148;0.197;0.254;49;22;22;0;0;0;0;0;0.058;0.071;2.458;0.118;0;15;15;15;81.7;2.14;0;3.6;3.1;0.25;0;0.1;72;249;35;0.69;0.84;0.064;15.8;277;366;0;0;0;0;0;0;0;0.001;0.023;0.098;0.023;0.07;0.099;0.016;0.006;0.04;0.026;0;0.035;0.041;0.018;0.093;72.66
26131100;Pompano, raw;2402;Fish;164;18.48;0;0;0;9.47;3.509;2.586;1.137;50;40;40;0;0;0;0;0;0.56;0.12;3;0.2;0;15;15;15;51.5;1.3;0;0;11;0.18;0;0.1;22;195;27;0.6;0.72;0.038;36.5;381;65;0;0;0;0;0;0;0;0;0.41;2.217;0.824;0.563;2.023;0;0;0.121;0;0;0.246;0.175;0.202;0.393;71.12
26131110;Pompano, cooked, NS as to cooking method;2402;Fish;234;22.59;0.1;0.04;0;15.35;4.806;4.741;2.944;61;42;42;0;0;0;0;0;0.651;0.147;3.668;0.221;0;17;17;17;63;1.35;0;0.5;13.4;0.66;0;4.6;27;238;33;0.74;0.88;0.047;44.6;467;392;0;0;0;0;0;0;0;0;0.501;3.078;1.128;0.702;4.023;0.015;0;1.511;0.191;0;0.301;0.214;0.247;0.48;60.02
26131120;Pompano, baked or broiled, fat added;2402;Fish;234;22.59;0.1;0.04;0;15.35;4.806;4.741;2.944;61;42;42;0;0;0;0;0;0.651;0.147;3.668;0.221;0;17;17;17;63;1.35;0;0.5;13.4;0.66;0;4.6;27;238;33;0.74;0.88;0.047;44.6;467;392;0;0;0;0;0;0;0;0;0.501;3.078;1.128;0.702;4.023;0.015;0;1.511;0.191;0;0.301;0.214;0.247;0.48;60.02
26131121;Pompano, baked or broiled, no added fat;2402;Fish;207;23.28;0.1;0.04;0;11.93;4.42;3.257;1.432;63;43;43;0;0;0;0;0;0.67;0.151;3.779;0.227;0;17;17;17;64.9;1.39;0;0.5;13.9;0.23;0;0.1;28;246;34;0.76;0.91;0.048;46;481;404;0;0;0;0;0;0;0;0;0.516;2.792;1.038;0.709;2.548;0;0;0.153;0;0;0.31;0.22;0.254;0.495;62.69
26131130;Pompano, coated, baked or broiled, fat added;2402;Fish;271;19.53;12.51;1.1;0.6;15.32;4.309;4.96;3.628;48;39;39;0;1;0;0;2;0.613;0.194;3.709;0.185;13;16;39;29;51.6;1.1;0;0;10.4;0.86;0;7.5;52;216;32;1.33;0.89;0.068;39.1;399;359;0;0;0;0.005;0.004;0.003;0.007;0.008;0.406;2.759;1.017;0.549;4.39;0.024;0;2.374;0.309;0;0.23;0.163;0.189;0.367;50.81
26131131;Pompano, coated, baked or broiled, no added fat;2402;Fish;230;20.45;13.1;1.15;0.6;10.01;3.687;2.669;1.316;50;41;41;0;1;0;0;2;0.641;0.203;3.884;0.194;14;17;40;31;54;1.15;0;0;10.9;0.19;0;0.8;54;226;33;1.38;0.94;0.071;40.9;418;375;0;0;0;0.006;0.004;0.003;0.007;0.008;0.425;2.301;0.872;0.554;2.12;0;0;0.308;0.017;0;0.241;0.171;0.197;0.384;54.52
26131140;Pompano, coated, fried;2402;Fish;284;18.77;9.85;0.88;0.6;18.41;4.645;6.34;5.019;78;44;44;0;0;1;0;48;0.508;0.193;3.377;0.184;7;17;29;24;69.4;0.95;0;0;9.6;1.28;0;11.4;49;208;30;1.35;0.93;0.074;37.5;365;387;0;0;0;0;0;0;0.001;0;0.353;3.044;1.131;0.531;5.767;0.038;0;3.651;0.472;0;0.228;0.149;0.173;0.341;51.12
26131160;Pompano, steamed or poached;2402;Fish;206;23.24;0;0;0;11.91;4.413;3.252;1.43;63;43;43;0;0;0;0;0;0.563;0.136;3.207;0.201;0;15;15;15;64.8;1.39;0;0;13.8;0.23;0;0.1;28;221;31;0.76;0.9;0.048;45.9;407;395;0;0;0;0;0;0;0;0;0.516;2.788;1.036;0.708;2.544;0;0;0.152;0;0;0.309;0.22;0.254;0.494;62.86
26131190;Pompano, smoked;2402;Fish;192;21.58;0;0;0;11.06;4.097;3.02;1.328;58;40;40;0;0;0;0;0;0.621;0.14;3.503;0.21;0;16;16;16;60.1;1.29;0;0;12.8;0.21;0;0.1;26;228;32;0.7;0.84;0.044;42.6;445;415;0;0;0;0;0;0;0;0;0.479;2.589;0.962;0.657;2.362;0;0;0.141;0;0;0.287;0.204;0.236;0.459;65.4
